x,y,z,old_flag,new_flag
189.64,129.45,0.0,0,0
188.64,129.45,0.0,0,0
187.64,129.45,0.0,0,0
186.64,129.45,0.0,0,0
185.64,129.45,0.0,0,0
184.64,129.45,0.0,0,0
183.64,129.45,0.0,0,0
182.64,129.45,0.0,0,0
181.64,129.45,0.0,0,0
180.64,129.45,0.0,0,0
179.64,129.45,0.0,0,0
178.64,129.45,0.0,0,0
177.64,129.45,0.0,0,0
176.64,129.45,0.0,0,0
175.64,129.45,0.0,0,0
174.64,129.45,0.0,0,0
173.64,129.45,0.0,0,0
172.64,129.45,0.0,0,0
171.64,129.45,0.0,0,0
170.64,129.45,0.0,0,0
169.64,129.45,0.0,0,0
168.64,129.44,0.0,0,0
167.64,129.44,0.0,0,0
166.64,129.44,0.0,0,0
165.64,129.44,0.0,0,0
164.64,129.44,0.0,0,0
163.64,129.44,0.0,0,0
162.64,129.44,0.0,0,0
160.64,129.44,0.0,0,0
159.64,129.44,0.0,0,0
158.64,129.44,0.0,0,0
157.64,129.44,0.0,0,0
156.64,129.44,0.0,0,0
155.64,129.44,0.0,0,0
154.64,129.44,0.0,0,0
153.64,129.44,0.0,0,0
152.64,129.44,0.0,0,0
151.64,129.44,0.0,0,0
150.64,129.44,0.0,0,0
149.64,129.44,0.0,0,0
148.64,129.44,0.0,0,0
147.64,129.44,0.0,0,0
146.64,129.44,0.0,0,0
145.64,129.43,0.0,0,0
144.64,129.43,0.0,0,0
143.64,129.43,0.0,0,0
142.64,129.43,0.0,0,0
141.64,129.43,0.0,0,0
140.64,129.43,0.0,0,0
139.64,129.43,0.0,0,0
138.64,129.43,0.0,0,0
137.64,129.43,0.0,0,0
136.64,129.43,0.0,0,0
135.64,129.43,0.0,0,0
134.64,129.43,0.0,0,0
133.64,129.43,0.0,0,0
132.64,129.43,0.0,0,0
131.64,129.43,0.0,0,0
130.64,129.43,0.0,0,0
129.64,129.43,0.0,0,0
128.64,129.43,0.0,0,0
127.64,129.43,0.0,0,0
126.64,129.43,0.0,0,0
125.64,129.43,0.0,0,0
124.64,129.43,0.0,0,0
123.64,129.42,0.0,0,0
122.64,129.42,0.0,0,0
121.64,129.42,0.0,0,0
120.64,129.42,0.0,0,0
119.64,129.42,0.0,0,0
118.64,129.42,0.0,0,0
117.64,129.42,0.0,0,0
116.64,129.42,0.0,0,0
115.64,129.42,0.0,0,0
114.64,129.42,0.0,0,0
113.64,129.42,0.0,0,0
112.64,129.42,0.0,0,0
111.64,129.42,0.0,0,0
110.64,129.42,0.0,0,0
109.64,129.42,0.0,0,0
108.64,129.42,0.0,0,0
107.64,129.42,0.0,0,0
106.64,129.42,0.0,0,0
105.64,129.42,0.0,0,0
104.64,129.42,0.0,0,0
103.64,129.42,0.0,0,0
102.64,129.42,0.0,0,0
101.42,129.41,0.0,0,0
101.42,129.41,0.0,0,0
100.42,129.41,0.0,0,0
99.42,129.41,0.0,0,0
98.42,129.41,0.0,0,0
97.26,129.44,0.0,0,0
96.02,129.62,0.0,0,0
94.81,129.95,0.0,0,0
93.66,130.44,0.0,0,0
92.57,131.06,0.0,0,0
91.58,131.82,0.0,0,0
90.67,132.72,0.0,0,0
89.9,133.73,0.0,0,0
89.27,134.85,0.0,0,0
88.81,136.04,0.0,0,0
88.51,137.28,0.0,0,0
